departure_date,origin_cluster_id,locality,departure_time,destination_cluster_id,distance_meters,static_duration_seconds,traffic_duration_seconds,predicted_arrival_time,arrival_buffer_minutes,status
2026-08-25,D2,Doddanekkundi,09:30,OFFICE,4689,1054,1266,2026-08-25T09:51:06+05:30,28.9,success
2026-08-25,D2,Doddanekkundi,09:45,OFFICE,4689,1054,1251,2026-08-25T10:05:51+05:30,14.15,success
2026-08-25,D2,Doddanekkundi,10:00,OFFICE,4689,1054,1279,2026-08-25T10:21:19+05:30,-1.3166666666666667,success
2026-08-25,D3,Doddanekkundi,08:30,OFFICE,4802,845,1009,2026-08-25T08:46:49+05:30,93.18333333333334,success
2026-08-25,D3,Doddanekkundi,08:45,OFFICE,4802,845,1049,2026-08-25T09:02:29+05:30,77.51666666666667,success
2026-08-25,D3,Doddanekkundi,09:00,OFFICE,4802,845,1099,2026-08-25T09:18:19+05:30,61.68333333333333,success
2026-08-25,D3,Doddanekkundi,09:15,OFFICE,4802,845,1158,2026-08-25T09:34:18+05:30,45.7,success
2026-08-25,D3,Doddanekkundi,09:30,OFFICE,4802,845,1164,2026-08-25T09:49:24+05:30,30.6,success
2026-08-25,D3,Doddanekkundi,09:45,OFFICE,4802,845,1217,2026-08-25T10:05:17+05:30,14.716666666666667,success
2026-08-25,D3,Doddanekkundi,10:00,OFFICE,4802,845,1235,2026-08-25T10:20:35+05:30,-0.5833333333333334,success
2026-08-25,K1,Kaggadasapura,08:30,OFFICE,6688,1369,1439,2026-08-25T08:53:59+05:30,86.01666666666667,success
2026-08-25,K1,Kaggadasapura,08:45,OFFICE,6688,1369,1492,2026-08-25T09:09:52+05:30,70.13333333333334,success
2026-08-25,K1,Kaggadasapura,09:00,OFFICE,6688,1369,1492,2026-08-25T09:24:52+05:30,55.13333333333333,success
2026-08-25,K1,Kaggadasapura,09:15,OFFICE,6688,1369,1513,2026-08-25T09:40:13+05:30,39.78333333333333,success
2026-08-25,K1,Kaggadasapura,09:30,OFFICE,6688,1369,1535,2026-08-25T09:55:35+05:30,24.416666666666668,success
2026-08-25,K1,Kaggadasapura,09:45,OFFICE,6688,1369,1578,2026-08-25T10:11:18+05:30,8.7,success
2026-08-25,K1,Kaggadasapura,10:00,OFFICE,6688,1369,1575,2026-08-25T10:26:15+05:30,-6.25,success
2026-08-25,K2,Kaggadasapura,08:30,OFFICE,6808,1362,1436,2026-08-25T08:53:56+05:30,86.06666666666666,success
2026-08-25,K2,Kaggadasapura,08:45,OFFICE,6808,1362,1489,2026-08-25T09:09:49+05:30,70.18333333333334,success
2026-08-25,K2,Kaggadasapura,09:00,OFFICE,6808,1362,1492,2026-08-25T09:24:52+05:30,55.13333333333333,success
2026-08-25,K2,Kaggadasapura,09:15,OFFICE,6808,1362,1513,2026-08-25T09:40:13+05:30,39.78333333333333,success
2026-08-25,K2,Kaggadasapura,09:30,OFFICE,6808,1362,1532,2026-08-25T09:55:32+05:30,24.466666666666665,success
