origin_cluster_id,locality,departure_time,sample_size,mean_traffic_duration_seconds,median_traffic_duration_seconds,p90_traffic_duration_seconds,min_traffic_duration_seconds,max_traffic_duration_seconds,mean_arrival_buffer_minutes,median_arrival_buffer_minutes,worst_arrival_buffer_minutes,on_time_count,off_time_count
R2,KR Puram,09:45,5,1176.0,1280.0,1348.2,819.0,1379.0,15.4,13.666666666666666,12.016666666666667,5,0
R2,KR Puram,10:00,5,1174.6,1265.0,1340.2,834.0,1347.0,0.4233333333333332,-1.0833333333333333,-2.45,2,3
R3,KR Puram,08:30,5,1178.8,1261.0,1308.0,908.0,1322.0,90.35333333333332,88.98333333333333,87.96666666666667,5,0
R3,KR Puram,08:45,5,1217.6,1293.0,1372.4,897.0,1386.0,74.70666666666668,73.45,71.9,5,0
R3,KR Puram,09:00,5,1231.2,1312.0,1374.0,904.0,1388.0,59.48,58.13333333333333,56.86666666666667,5,0
R3,KR Puram,09:15,5,1221.2,1284.0,1355.2,911.0,1366.0,44.64666666666666,43.6,42.233333333333334,5,0
R3,KR Puram,09:30,5,1219.4,1278.0,1362.6,898.0,1375.0,29.676666666666666,28.7,27.083333333333332,5,0
R3,KR Puram,09:45,5,1232.0,1306.0,1368.8,915.0,1386.0,14.466666666666665,13.233333333333333,11.9,5,0
R3,KR Puram,10:00,5,1237.8,1335.0,1370.8,928.0,1386.0,-0.63,-2.25,-3.1,2,3
V1,Vibhutipura,08:30,5,1881.6,1913.0,1995.4,1659.0,2029.0,78.64000000000001,78.11666666666666,76.18333333333334,5,0
V1,Vibhutipura,08:45,5,1882.6,1931.0,1984.0,1670.0,2010.0,63.623333333333335,62.81666666666667,61.5,5,0
V1,Vibhutipura,09:00,5,1881.6,1909.0,1988.8,1696.0,2018.0,48.64,48.18333333333333,46.36666666666667,5,0
V1,Vibhutipura,09:15,5,1899.0,1941.0,2009.8,1713.0,2045.0,33.35,32.65,30.916666666666668,5,0
V1,Vibhutipura,09:30,5,1904.6,1921.0,2025.6,1727.0,2068.0,18.256666666666668,17.983333333333334,15.533333333333333,5,0
V1,Vibhutipura,09:45,5,1913.2,1943.0,2032.2,1755.0,2073.0,3.1133333333333333,2.6166666666666667,0.45,5,0
V1,Vibhutipura,10:00,5,1949.2,1952.0,2072.4,1791.0,2104.0,-12.486666666666668,-12.533333333333333,-15.066666666666666,0,5
V2,Vibhutipura,08:30,5,1861.2,1927.0,1985.6,1565.0,2016.0,78.97999999999999,77.88333333333334,76.4,5,0
V2,Vibhutipura,08:45,5,1900.8,1978.0,2068.8,1571.0,2126.0,63.32000000000001,62.03333333333333,59.56666666666667,5,0
V2,Vibhutipura,09:00,5,1951.0,2047.0,2140.6,1572.0,2201.0,47.483333333333334,45.88333333333333,43.31666666666667,5,0
V2,Vibhutipura,09:15,5,1992.0,2098.0,2203.6,1577.0,2254.0,31.8,30.033333333333335,27.433333333333334,5,0
V2,Vibhutipura,09:30,5,2041.8,2156.0,2303.2,1588.0,2390.0,15.969999999999999,14.066666666666666,10.166666666666666,5,0
V2,Vibhutipura,09:45,5,2080.0,2208.0,2338.6,1603.0,2411.0,0.33333333333333337,-1.8,-5.183333333333334,2,3
V2,Vibhutipura,10:00,5,2088.6,2209.0,2347.6,1635.0,2412.0,-14.809999999999999,-16.816666666666666,-20.2,0,5
V3,Vibhutipura,08:30,5,2030.0,2105.0,2158.4,1735.0,2192.0,76.16666666666666,74.91666666666667,73.46666666666667,5,0
V3,Vibhutipura,08:45,5,2066.6,2135.0,2242.8,1735.0,2300.0,60.55666666666667,59.416666666666664,56.666666666666664,5,0
V3,Vibhutipura,09:00,5,2140.6,2246.0,2340.4,1735.0,2396.0,44.32333333333334,42.56666666666667,40.06666666666667,5,0
V3,Vibhutipura,09:15,5,2191.2,2271.0,2451.8,1742.0,2521.0,28.48,27.15,22.983333333333334,5,0
V3,Vibhutipura,09:30,5,2218.0,2329.0,2481.4,1752.0,2581.0,13.033333333333335,11.183333333333334,6.983333333333333,5,0
V3,Vibhutipura,09:45,5,2245.4,2359.0,2509.2,1775.0,2548.0,-2.423333333333333,-4.316666666666666,-7.466666666666667,2,3
V3,Vibhutipura,10:00,5,2230.0,2353.0,2487.6,1808.0,2568.0,-17.166666666666664,-19.216666666666665,-22.8,0,5
